TEAM,ELO
1610612762.0,1551.4384345847936
1610612763.0,1542.150841612294
1610612764.0,1356.1735646260483
1610612758.0,1483.443223502231
1610612757.0,1525.3582127925915
1610612748.0,1570.5047242853277
1610612756.0,1577.6692728572775
1610612742.0,1576.406773022986
1610612765.0,1350.6748193126293
1610612737.0,1363.0800620707419
1610612761.0,1690.5181570552274
1610612738.0,1653.8704634504682
1610612740.0,1560.834601614233
1610612760.0,1575.6795430172021
1610612754.0,1549.1520482850055
1610612755.0,1546.703464494718
1610612747.0,1608.0545340471238
1610612759.0,1534.2029865053219
1610612750.0,1365.9554516842684
1610612752.0,1344.7177091239475
1610612741.0,1348.8314086928933
1610612744.0,1364.7284325458804
1610612743.0,1523.2009358714938
1610612753.0,1506.3095719789026
1610612745.0,1577.3015255301864
1610612746.0,1629.1595834589302
1610612751.0,1489.4082434355735
1610612749.0,1632.9823169718998
1610612739.0,1336.7678047035563
1610612766.0,1370.0886242871622
